estimator,"a,a","a,t0","a,beta_v","a,z","t0,a","t0,t0","t0,beta_v","t0,z","beta_v,a","beta_v,t0","beta_v,beta_v","beta_v,z","z,a","z,t0","z,beta_v","z,z"
sample-hessian,0.013524054937168555,-0.5781362590945667,0.30725233293799353,-0.026028169060557906,-0.5781362590945667,0.00328357708918666,-0.2886922278981635,0.5342404104674638,0.30725233293799364,-0.28869222789816373,0.038403964287286166,-0.5618305869742561,-0.02602816906055817,0.5342404104674641,-0.561830586974256,0.027066972345938568
outer-product,0.013060620920422133,-0.5979574326544285,0.2864351467179148,-0.07393278024207472,-0.5979574326544285,0.0034997551680045337,-0.26484177766791744,0.5284283882401507,0.28643514671791453,-0.2648417776679174,0.03745473761104086,-0.5911444039949495,-0.07393278024207432,0.5284283882401505,-0.5911444039949495,0.026812986472018185
misspecification-robust,0.014071408040192477,-0.5620228961405079,0.32824832963723233,0.021743970598150104,-0.5620228961405078,0.003093944588831856,-0.3115548812206211,0.538901436906891,0.32824832963723255,-0.3115548812206216,0.03943317929948456,-0.5294943582045954,0.021743970598149417,0.5389014369068917,-0.5294943582045953,0.027358426254967923
autocorrelation-robust,0.014132715232954453,-0.5789631554760588,0.3682323872262837,-0.01892505912794377,-0.578963155476059,0.0030822422313141807,-0.4137134075262869,0.5509508160411095,0.368232387226284,-0.41371340752628727,0.0392934980660113,-0.5657217984217638,-0.018925059127944323,0.5509508160411098,-0.5657217984217635,0.02794008541495531
sample-hessian,0.012667037485917963,-0.5837280039739245,0.3123474490391879,-0.05489903852575874,-0.5837280039739248,0.003111257881794081,-0.27668098944388364,0.5252907205535371,0.3123474490391879,-0.2766809894438835,0.03891478187966136,-0.568923776385557,-0.0548990385257589,0.5252907205535371,-0.5689237763855571,0.026851326528208375
outer-product,0.01240162121079909,-0.54926873970879,0.27873499962395787,-0.07961110780406142,-0.5492687397087896,0.003512689077866341,-0.3132140546871596,0.6414707096433527,0.27873499962395787,-0.3132140546871596,0.03683486521512916,-0.5722289356989105,-0.07961110780406142,0.6414707096433527,-0.5722289356989106,0.030436540342047142
misspecification-robust,0.01298619198682308,-0.624794809280347,0.3507994977800765,-0.04333217413544017,-0.6247948092803475,0.0028080864878065655,-0.2598434680090027,0.3950871831079368,0.35079949778007646,-0.2598434680090024,0.04143384223703242,-0.5817125654590414,-0.043332174135440334,0.3950871831079366,-0.5817125654590415,0.024158560004502817
autocorrelation-robust,0.012013298871382765,-0.4941735036399256,0.2974954510052545,0.08532617636901209,-0.49417350363992585,0.002607867347692341,-0.14066221004745078,0.34205348287112025,0.2974954510052543,-0.14066221004745033,0.043100682518310354,-0.5034551345205469,0.08532617636901145,0.3420534828711207,-0.5034551345205476,0.024742807701455108
sample-hessian,0.012317000602099629,-0.6032263115786027,0.28756620079918915,-0.05429434791108598,-0.603226311578603,0.003169897251648537,-0.2617726202324963,0.5087601380876176,0.2875662007991889,-0.2617726202324962,0.03732585880377802,-0.5554122651395613,-0.05429434791108616,0.5087601380876179,-0.5554122651395614,0.025783598063794728
outer-product,0.011991856886755402,-0.6378657433186776,0.3109810977639785,-0.15547700305557072,-0.6378657433186775,0.003642467860904753,-0.2432514814857152,0.49926100563510617,0.31098109776397853,-0.24325148148571538,0.03791362397231194,-0.5949892576448643,-0.15547700305557063,0.49926100563510617,-0.5949892576448643,0.025278719198352558
