,a,a+,a-,beta_v,beta_v+,beta_v-,t0,t0+,t0-,z,z+,z-
740,0.8699571548264812,0.9285398210951084,0.811374488557854,1.125319637677329,1.3787239039369292,0.8719153714177285,0.4461771146619076,0.46099627596848997,0.4313579533553253,0.23598258065911323,0.3193593112919736,0.15260585002625288
760,0.842950905392172,0.9035326623222434,0.7823691484621006,0.995284193976281,1.211423741883166,0.779144646069396,0.43500384760625777,0.4585383955624968,0.4114692996500187,0.21725259176205403,0.28802751447681435,0.1464776690472937
780,0.8882437251744731,0.9700978868266991,0.8063895635222472,1.2488981640562953,1.5522501763307832,0.9455461517818073,0.4874422373827731,0.5087032555506177,0.4661812192149285,0.32831187525288985,0.42729393949261274,0.22932981101316696
800,0.9304959510800488,1.007391568755131,0.8536003334049667,1.1227488743138012,1.4241868907246706,0.8213108579029317,0.44613307699398136,0.4685549369149655,0.4237112170729972,0.2976056500817411,0.38653443355196204,0.20867686661152016
820,0.8453586732052041,0.9289959200610145,0.7617214263493937,0.9727343974468576,1.260356250349711,0.6851125445440043,0.42180538406656115,0.44381500327391266,0.39979576485920965,0.2295426626549648,0.34945415603513325,0.10963116927479638
840,0.8888144074787097,0.9671012195137426,0.8105275954436767,1.1637036717316442,1.5296916556918334,0.7977156877714551,0.40543276071499534,0.42780961284786134,0.38305590858212935,0.33394591269514695,0.4275108639923264,0.24038096139796752
860,0.86266072678149,0.9830142022477398,0.7423072513152401,1.3468089557222207,1.7169125053380392,0.9767054061064022,0.42163520210630046,0.4413612945512986,0.40190910966130233,0.2710183936705934,0.39972202931892375,0.14231475802226298
880,0.9318075869761183,1.0366143607400569,0.8270008132121798,0.9565549995228175,1.2630475329636466,0.6500624660819885,0.4030172670604664,0.43184447997327857,0.37419005414765427,0.17920649656243326,0.29069136934956447,0.06772162377530205
900,0.9060998497736099,1.011687143958822,0.8005125555883978,1.063197246216839,1.4824429421141248,0.6439515503195535,0.4072126632627021,0.44096755796914366,0.37345776855626056,0.2543213355435181,0.39615531333413084,0.11248735775290536
920,0.7912643290271073,0.8807421087807984,0.7017865492734162,0.6206690612091763,1.013814991385201,0.22752313103315153,0.42561890829979676,0.4588562906848553,0.39238152591473824,0.14723932529088424,0.3316088482531304,-0.03713019767136197
940,,,,,,,,,,,,
