estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
autocorrelation-robust,0.01315178051128394,-0.5387851786152759,0.3815629420803508,0.030823383073069886,-0.5387851786152759,0.0027135692658258053,-0.41416371770786264,0.5530650081359686,0.3815629420803507,-0.4141637177078619,0.09422540738937402,-0.5832730796884888,0.030823383073070827,0.5530650081359672,-0.5832730796884886,0.028816104664907527
sample-hessian,0.013898268320339595,-0.5787968664394669,0.34700267903812393,-0.007207541191096561,-0.5787968664394673,0.0034488460345489503,-0.42500282738215917,0.5602790764946485,0.3470026790381242,-0.4250028273821593,0.09406229835298412,-0.6208434438036671,-0.007207541191097089,0.5602790764946488,-0.6208434438036673,0.0299444791430975
outer-product,0.013957470044352329,-0.6131320574378897,0.3706358552340833,0.009244831299021455,-0.6131320574378897,0.0030893345761139053,-0.392213165329436,0.4722268439712887,0.37063585523408343,-0.3922131653294361,0.08969404692572451,-0.5846740837745318,0.009244831299021344,0.4722268439712889,-0.5846740837745319,0.027010714752210126
misspecification-robust,0.013855373116169065,-0.5494694962521073,0.32666459844507384,-0.028857568208905154,-0.5494694962521082,0.0038833328347471787,-0.46472210228004945,0.6395457864943211,0.3266645984450745,-0.46472210228004973,0.09931785506169837,-0.657960006845987,-0.02885756820890612,0.6395457864943218,-0.6579600068459874,0.033498476092537664
autocorrelation-robust,0.013938709064645307,-0.5829125886295906,0.39412020882051607,-0.0572737300131296,-0.5829125886295916,0.003869684679519932,-0.501143830691636,0.6557070215498831,0.3941202088205168,-0.501143830691636,0.09937443193981847,-0.6357887472774127,-0.057273730013130866,0.6557070215498838,-0.6357887472774136,0.032261625635185524
sample-hessian,0.015705255810970375,-0.5677673991914264,0.3735225337148978,-0.01999923863508452,-0.5677673991914265,0.004008432443133699,-0.507987050574927,0.638784941037375,0.3735225337148981,-0.5079870505749272,0.09899482514142062,-0.650007152610533,-0.0199992386350845,0.638784941037375,-0.650007152610533,0.03354901287273198
outer-product,0.015856054627944663,-0.54718367847239,0.3681762801799631,-0.044925437002686,-0.5471836784723897,0.00456201361301402,-0.543896573196373,0.7079657363669798,0.368176280179963,-0.5438965731963729,0.09929613112043706,-0.6651413623814405,-0.04492543700268577,0.7079657363669796,-0.6651413623814405,0.037201768261711295
misspecification-robust,0.01558659626208556,-0.5948598608185538,0.38289386598292324,-0.004182363531410948,-0.594859860818554,0.003547769336573272,-0.4817937814370731,0.5624178009334918,0.382893865982924,-0.48179378143707313,0.09952186554386389,-0.6438533597167314,-0.00418236353141082,0.5624178009334909,-0.6438533597167312,0.03064578210300726
autocorrelation-robust,0.01615023551224364,-0.6858230227120508,0.4062825465799789,-0.11970019255265729,-0.6858230227120512,0.0038546705475115805,-0.5444159787021438,0.6032199243153853,0.4062825465799797,-0.5444159787021442,0.10079721951841615,-0.6939729969985798,-0.1197001925526575,0.6032199243153852,-0.69397299699858,0.0307509003974783
sample-hessian,0.01393100962392732,-0.6032244225637583,0.35555547593090026,-0.054627336063355146,-0.6032244225637583,0.0037490195387836107,-0.43333819850151567,0.5785240377027997,0.35555547593090026,-0.4333381985015156,0.09037264671270302,-0.6257781036185239,-0.05462733606335536,0.5785240377027998,-0.625778103618524,0.0295729069453917
outer-product,0.0144730060638435,-0.6694185190815989,0.4230002216053958,-0.14087487150426997,-0.6694185190815987,0.004056350222242761,-0.4454142583665398,0.5584406470075423,0.42300022160539563,-0.4454142583665398,0.09117483790748368,-0.6330439971404682,-0.1408748715042699,0.5584406470075423,-0.6330439971404682,0.028098738689957412
misspecification-robust,0.013518457596758378,-0.5259014036054847,0.28261359898268007,0.03186626428873053,-0.5259014036054847,0.003494543769324782,-0.4260554510756414,0.6061923766907086,0.28261359898267985,-0.42605545107564124,0.08994368581934342,-0.6228496956787657,0.03186626428872988,0.606192376690709,-0.6228496956787659,0.03126066036796747
autocorrelation-robust,0.013764690429391453,-0.5177890791431059,0.22102790759920093,0.10126485377607625,-0.5177890791431058,0.003349220602954609,-0.40899736306102724,0.545381950402954,0.22102790759920077,-0.40899736306102685,0.09017201706675441,-0.6397529463049918,0.1012648537760756,0.5453819504029539,-0.6397529463049919,0.03170437900966334
sample-hessian,0.013518006581361895,-0.5820451414838909,0.3581465379836462,-0.0639262721490728,-0.5820451414838909,0.0036089765956461056,-0.456704231533447,0.6099088925592032,0.3581465379836465,-0.45670423153344725,0.09382083821040729,-0.6433274905334787,-0.06392627214907268,0.6099088925592032,-0.6433274905334787,0.030851696640818767
outer-product,0.013709049773254219,-0.560541268133247,0.3664980458511883,-0.11992807460040612,-0.5605412681332471,0.004324144052558142,-0.5399832732773153,0.7304293069368137,0.3664980458511881,-0.5399832732773153,0.0977663594437022,-0.683498791688905,-0.11992807460040626,0.7304293069368138,-0.6834987916889051,0.03687848701619701
misspecification-robust,0.013378072932429728,-0.6140217390064101,0.35820890977404835,-0.01972389563432432,-0.6140217390064101,0.003069813690928707,-0.38408884479235106,0.45777235316097525,0.35820890977404873,-0.3840888447923517,0.09173406847524873,-0.6177743923254773,-0.01972389563432414,0.45777235316097514,-0.617774392325477,0.02639701158065505
autocorrelation-robust,0.014088545271624155,-0.5837957821386768,0.4097313353501621,-0.06685421546543073,-0.5837957821386766,0.0032341198724090956,-0.3842134388850088,0.5654046735734827,0.40973133535016254,-0.38421343888500953,0.08880252679465805,-0.576967830346874,-0.06685421546543041,0.565404673573483,-0.5769678303468743,0.026884222272270934
sample-hessian,0.013616021749079853,-0.64939778131057,0.3975138416580674,-0.14439564364512741,-0.6493977813105705,0.0038556422106852703,-0.4469353881862671,0.5995691271625881,0.39751384165806786,-0.44693538818626705,0.09268381753950591,-0.6393778122962095,-0.14439564364512827,0.5995691271625886,-0.6393778122962097,0.02972307351750711
outer-product,0.01407461573453516,-0.69071657653969,0.48791322485910293,-0.29255970325079494,-0.6907165765396903,0.0048622013248854415,-0.5215226524754806,0.6851612338610368,0.48791322485910293,-0.5215226524754805,0.10277098771816204,-0.6980147451764819,-0.292559703250795,0.6851612338610368,-0.698014745176482,0.03294716166293046
misspecification-robust,0.013532104366975552,-0.6351193277051942,0.31785892111003955,-0.01941265526825553,-0.6351193277051956,0.0031071773971933993,-0.3725040853783456,0.5115345986588005,0.3178589211100405,-0.37250408537834545,0.08455510769120181,-0.5816551520487993,-0.019412655268257497,0.5115345986588018,-0.5816551520488003,0.02752849258329637
autocorrelation-robust,0.013345891700305841,-0.6071386153119532,0.3134399836265772,0.010503250814127778,-0.6071386153119545,0.0030003867912163067,-0.393032056816089,0.5241512612142153,0.3134399836265782,-0.3930320568160891,0.07892866127943887,-0.6081545051830359,0.010503250814125984,0.5241512612142166,-0.6081545051830365,0.028331548354094942
sample-hessian,0.01457309669978699,-0.5497782605053998,0.3500798409923325,-0.021855149380280246,-0.5497782605054,0.0037176105181258305,-0.5091787217219186,0.6533619254804364,0.3500798409923324,-0.5091787217219184,0.09832362538555907,-0.654287049126247,-0.02185514938028015,0.6533619254804364,-0.6542870491262471,0.03294706228862359
outer-product,0.014812070816409534,-0.5073443580609661,0.3044009491093943,-0.005859976361968313,-0.5073443580609662,0.004368926941927526,-0.5325249827087931,0.7126237318721891,0.30440094910939436,-0.5325249827087932,0.10156109853042974,-0.6758279971575589,-0.005859976361968109,0.7126237318721891,-0.6758279971575591,0.037350354868964
misspecification-robust,0.01439425611916002,-0.6008866887586558,0.398771182822812,-0.05286988992406996,-0.6008866887586557,0.003202507988955961,-0.5016125832986392,0.594471842444558,0.398771182822812,-0.5016125832986393,0.09622862089516172,-0.6417100886152897,-0.0528698899240701,0.5944718424445583,-0.6417100886152897,0.029574547960611115
autocorrelation-robust,0.015350492437037398,-0.6446724994299126,0.4158423352609052,0.0016527146072204293,-0.6446724994299132,0.0031896549055440947,-0.5278705997002708,0.5295472440037161,0.4158423352609051,-0.5278705997002701,0.10143478805477808,-0.6497884008728063,0.0016527146072205182,0.529547244003716,-0.6497884008728068,0.029647177273815748
sample-hessian,0.014163309044253673,-0.5959091470746248,0.3766431344119314,-0.07431701798890816,-0.5959091470746247,0.0037198783881010446,-0.4843896220002263,0.6305657875724094,0.37664313441193104,-0.4843896220002263,0.0968026055006613,-0.6466605828102241,-0.07431701798890777,0.6305657875724093,-0.6466605828102238,0.031507549666347744
outer-product,0.01416409459042644,-0.5988435386123998,0.39478810393720726,-0.10804494687054966,-0.5988435386123997,0.004062323726830298,-0.5019939111020448,0.6550253970752892,0.3947881039372071,-0.5019939111020447,0.10203978363928805,-0.668879233835304,-0.10804494687054958,0.6550253970752891,-0.668879233835304,0.032820600901673706
misspecification-robust,0.01420770742960512,-0.5985271795744312,0.3614579823472887,-0.04641874719047259,-0.5985271795744307,0.003421119382594803,-0.4678769852871484,0.6074327895468379,0.36145798234728777,-0.4678769852871485,0.09196031941980609,-0.6244997676948773,-0.04641874719047119,0.6074327895468372,-0.6244997676948761,0.030376039015121613
autocorrelation-robust,0.014974823731890768,-0.6857583714357132,0.40440642974134755,-0.11317407031403474,-0.6857583714357125,0.0036596827850748303,-0.4879276367853629,0.609129417472675,0.4044064297413466,-0.4879276367853628,0.09685953546345992,-0.6624593029846849,-0.11317407031403376,0.6091294174726748,-0.662459302984684,0.031889038523977176
sample-hessian,0.014633386587996981,-0.5343034475829094,0.3400233797336214,0.009166352100355147,-0.5343034475829095,0.0036651253841322763,-0.48404600290571964,0.6260871086277221,0.34002337973362134,-0.48404600290571975,0.09650566129176397,-0.6456926064901806,0.00916635210035514,0.6260871086277223,-0.6456926064901806,0.03256981076379798
outer-product,0.015077411883321923,-0.4371084814911098,0.23745638585786757,0.08755826796236864,-0.43710848149111003,0.004060358032372011,-0.5372227799618756,0.7142268170722659,0.23745638585786763,-0.537222779961876,0.09785289656881337,-0.6762766491117851,0.08755826796236853,0.7142268170722659,-0.6762766491117849,0.039389132867166964
misspecification-robust,0.014293444030089964,-0.6123076887601172,0.42785210224939646,-0.07349908279254713,-0.6123076887601173,0.003392384137427968,-0.4456241015937578,0.5266084810977413,0.42785210224939607,-0.44562410159375815,0.09698736153243823,-0.6368553719081922,-0.07349908279254704,0.5266084810977423,-0.6368553719081923,0.027340694450565226
autocorrelation-robust,0.014746854882405054,-0.6676281254977445,0.45227813271700973,-0.08075798369582261,-0.6676281254977451,0.0034205376900770883,-0.5218637290768849,0.5356168510793613,0.4522781327170098,-0.5218637290768852,0.09487411637900708,-0.613395386917014,-0.08075798369582245,0.5356168510793614,-0.6133953869170141,0.02772531404451758
sample-hessian,0.013607218339336015,-0.5223038660169556,0.31073603581514525,0.030436061242687218,-0.5223038660169551,0.003299254343750472,-0.4590657815465369,0.6092927635393725,0.31073603581514475,-0.4590657815465366,0.09469846323581727,-0.6308937190127621,0.030436061242687714,0.6092927635393719,-0.6308937190127617,0.030827312590470675
outer-product,0.013669729374013355,-0.5152579668277476,0.33595400036892337,-0.002977787554845975,-0.5152579668277476,0.0033653604092272805,-0.5059370080469768,0.6624578306828476,0.33595400036892326,-0.5059370080469768,0.09408365458470527,-0.6432373782051269,-0.0029777875548459257,0.6624578306828475,-0.6432373782051267,0.03242742555330824
misspecification-robust,0.013561721490625008,-0.5310038495283181,0.28532668323340316,0.06445050002454879,-0.5310038495283171,0.003252834131978798,-0.41157846960790506,0.5509901907849479,0.28532668323340216,-0.4115784696079043,0.09562741718986065,-0.621471455034972,0.06445050002454991,0.5509901907849464,-0.6214714550349709,0.029369187932652134
autocorrelation-robust,0.0135204065606283,-0.5748875275875912,0.32008372815322783,0.01590693441473709,-0.5748875275875902,0.0032895391140008055,-0.310949188232182,0.540203041919943,0.320083728153227,-0.31094918823218126,0.08789709294793482,-0.5483443633375952,0.015906934414737846,0.5402030419199418,-0.5483443633375946,0.02747923877693017
sample-hessian,0.012982698191079688,-0.5696116493531981,0.33546418792208016,-0.041660090864358124,-0.5696116493531976,0.0033623249646004293,-0.45068423746389674,0.6075192385171065,0.33546418792207977,-0.4506842374638968,0.09407514852921628,-0.6357089798129373,-0.041660090864357575,0.6075192385171063,-0.6357089798129371,0.030192773047390143
outer-product,0.01311294194538471,-0.596100799620301,0.4031821443719556,-0.13811971344083396,-0.5961007996203012,0.0038147613916803616,-0.5063690784522874,0.6751997126271854,0.40318214437195576,-0.5063690784522874,0.09577656622986393,-0.6559997341508765,-0.1381197134408338,0.6751997126271853,-0.6559997341508764,0.03195305148544382
